T,O,O+,O2
50,5.033,4,36.97
100,5.345,4,73.45
150,5.77,4,109.9
200,6.155,4,146.4
298.15,6.731,4,218.2
300,6.74,4,219.6
400,7.139,4,293.7
500,7.422,4,369.9
600,7.632,4,449.8
700,7.794,4,534.2
800,7.921,4,623.9
900,8.025,4,719.4
1000,8.11,4,820.9
2000,8.526,4,2207
3000,8.68,4,4362
4000,8.772,4.001,7452
5000,8.855,4.005,11660
6000,8.947,4.016,17190
7000,9.051,4.042,24250
8000,9.166,4.085,33020
9000,9.29,4.147,43650
10000,9.422,4.229,56240
11000,9.564,4.33,70800
12000,9.73,4.448,87300
13000,9.945,4.582,105700
14000,10.25,4.729,125700
15000,10.73,4.888,147400
16000,11.46,5.055,170500
17000,12.57,5.229,194900
18000,14.2,5.41,220400
19000,16.5,5.594,246900
20000,19.65,5.782,274300
21000,23.83,5.972,302300
22000,29.21,6.163,331000
23000,35.97,6.357,360100
24000,44.28,6.552,389700
25000,54.29,6.75,419500
26000,66.15,6.953,449500
27000,79.98,7.164,479700
28000,95.89,7.388,510000
29000,114,7.63,540300
30000,134.3,7.9,570600
32000,181.9,8.568,630900
34000,238.9,9.514,690700
36000,305.4,10.92,749700
38000,381.1,13.02,807700
40000,465.8,16.13,864600
42000,559.1,20.62,920400
44000,660.4,26.93,974800
46000,769.2,35.55,1028000
48000,884.8,47.02,1080000
50000,1007,61.93,1131000
